paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,65,RLB5983,"USA: Arizona, Mohave Co.; Goldroad; N 35.0333, W 114.3333",EU129616,X. vigilis,vigilis_EM,plants,35.0333,-114.3333
Leavitt 2007,65,RLB5984,"USA: Arizona, Mohave Co.; Goldroad; N 35.0333, W 114.3333",EU129617,X. vigilis,vigilis_EM,plants,35.0333,-114.3333
Leavitt 2007,65,RLB5985,"USA: Arizona, Mohave Co.; Goldroad; N 35.0333, W 114.3333",EU129619,X. vigilis,vigilis_EM,plants,35.0333,-114.3333
Sinclair et al 2004,30,LACM 145128,"Goldroad, U.S.A.: Arizona",AY584319,v. vigilis,vigilis_EM,plants,35.04667,-114.37968
Leavitt 2007,67,RLB5843,"USA: Arizona, Mohave Co.; Hualapai Mts. NE; N 35.05, W 113.8167",EU129583,X. vigilis,vigilis_EM,rocks,35.05,-113.8167
Leavitt 2007,67,RLB5844,"USA: Arizona, Mohave Co.; Hualapai Mts. NE; N 35.05, W 113.8167",EU129584,X. vigilis,vigilis_EM,rocks,35.05,-113.8167
Leavitt 2007,67,RLB5848,"USA: Arizona, Mohave Co.; Hualapai Mts. NE; N 35.05, W 113.8167",EU129586,X. vigilis,vigilis_EM,rocks,35.05,-113.8167
Leavitt 2007,67,RLB5852,"USA: Arizona, Mohave Co.; Hualapai Mts. NE; N 35.05, W 113.8167",EU129587,X. vigilis,vigilis_EM,rocks,35.05,-113.8167
Leavitt 2007,66,RLB5927,"USA: Arizona, Mohave Co.; McConnico; N 35.1333, W 114.1167",EU129595,X. vigilis,vigilis_EM,plants,35.1333,-114.1167
Leavitt 2007,66,RLB5928,"USA: Arizona, Mohave Co.; McConnico; N 35.1333, W 114.1167",EU129593,X. vigilis,vigilis_EM,plants,35.1333,-114.1167
Leavitt 2007,66,RLB5929,"USA: Arizona, Mohave Co.; McConnico; N 35.1333, W 114.1167",EU129594,X. vigilis,vigilis_EM,plants,35.1333,-114.1167
Leavitt 2007,66,RLB5930,"USA: Arizona, Mohave Co.; McConnico; N 35.1333, W 114.1167",EU129596,X. vigilis,vigilis_EM,plants,35.1333,-114.1167
Leavitt 2007,20,RLB5506,"USA: California, Kern Co.; Mojave; N 35.05, W 118.1667",EU129779,X. vigilis,vigilis_KCAV,plants,35.05,-118.1667
Leavitt 2007,12,RLB5514,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129794,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Leavitt 2007,12,RLB5515,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129789,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Leavitt 2007,12,RLB5517,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129795,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Leavitt 2007,12,RLB5518,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129796,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Leavitt 2007,12,RLB5519,"USA: California, San Bernardino Co.; Hesperia; N 34.4333, W 117.3",EU129791,X. vigilis,vigilis_KCAV,plants,34.4333,-117.3
Leavitt 2007,NA,RLB5521,"USA: California, Ventura Co.; San Nicholas Island",EU129464,X. riversiana,riversiana,plants,33.24691844,-119.4992185
Leavitt 2007,NA,RLB5581,"USA: California, Riverside Co.; Banning",EU129458,X. henshawi,NA,rocks,33.93212199,-116.8725607
Leavitt 2007,66,RLB5931,"USA: Arizona, Mohave Co.; McConnico; N 35.1333, W 114.1167",EU129597,X. vigilis,vigilis_EM,plants,35.1333,-114.1167
Sinclair et al 2004,29,LACM 139950,"McConnico, U.S.A.: Arizona",AY584312,v. vigilis,vigilis_EM,plants,35.14465888,-114.0908168
Leavitt 2007,17,RLB5688,"USA: California, Los Angeles Co.; Palmdale; N 34.6, W 118.1333",EU129754,X. vigilis,vigilis_KCAV,plants,34.6,-118.1333
Leavitt 2007,17,RLB5689,"USA: California, Los Angeles Co.; Palmdale; N 34.6, W 118.1333",EU129755,X. vigilis,vigilis_KCAV,plants,34.6,-118.1333
Leavitt 2007,17,RLB5690,"USA: California, Los Angeles Co.; Palmdale; N 34.6, W 118.1333",EU129756,X. vigilis,vigilis_KCAV,plants,34.6,-118.1333
Leavitt 2007,34,RLB5691,"USA: California, Los Angeles Co.; Lockwood Valley; N 34.8, W 119.0333",EU129744,X. vigilis,vigilis_KCAV,plants,34.8,-119.0333
Leavitt 2007,34,RLB5692,"USA: California, Los Angeles Co.; Lockwood Valley; N 34.8, W 119.0333",EU129745,X. vigilis,vigilis_KCAV,plants,34.8,-119.0333
