paper,sample,museum,locale,genbank,species,OTU,morphology,LAT,LON
Leavitt 2007,84,RLB6581,"USA: Arizona, Yuma Co.; Tule Well; N 32.2245, W 113.8095",EU129666,X. vigilis,vigilis_EM,plants,32.2245,-113.8095
Sinclair et al 2004,62,LACM 151491,"Tule Well, U.S.A.: Arizona",AY584337,v. vigilis,vigilis_EM,plants,32.22733086,-113.7474799
Leavitt 2007,1,DHL149,"USA: California, San Diego Co.; Mason Valley; N 33.0042, W 116.4602",EU129648,Xantusia vigilis,vigilis_EM,plants,33.0042,-116.4602
Leavitt 2007,83,RLB5817,"USA: Arizona, Yuma Co.; Horse Tank; N 33.0333, W 114.1667",EU129661,X. vigilis,vigilis_EM,plants,33.0333,-114.1667
Leavitt 2007,83,RLB5818,"USA: Arizona, Yuma Co.; Horse Tank; N 33.0333, W 114.1667",EU129662,X. vigilis,vigilis_EM,plants,33.0333,-114.1667
Sinclair et al 2004,70,LACM 145080,"Vizcaino, Mexico: Baja California Sur",AY584272,v. wigginsi,wigginsi,plants,27.67659,-113.4037
Leavitt 2007,25,48073,"USA: California, Kern Co.; Greenhorn Creek 2; N 35.5781, W 118.5605",EU129734,X. vigilis,vigilis_KCAV,plants,35.5781,-118.5605
Leavitt 2007,25,48074,"USA: California, Kern Co.; Greenhorn Creek 2; N 35.5781, W 118.5605",EU129730,X. vigilis,vigilis_KCAV,plants,35.5781,-118.5605
Lovich et al 2001,SDSNH68805,SDSNH68805,"1 km north of Lake Perris, Riverside Co, CA",AF313386,henshawi,henshawi_1,rocks,33.87492884,-117.1767318
Lovich et al 2001,SDSNH68806,SDSNH68806,"1 km south Chihuahua Valle Road, Riverside Co, CA",AF313374,henshawi,henshawi_1,rocks,33.38466348,-116.6891395
Lovich et al 2001,SDSNH68830,SDSNH68830,"2 km north of Ranchita, San Diego Co, CA",AF313382,henshawi,henshawi_1,rocks,33.21154554,-116.5144521
Leavitt 2007,2,BYU46706,"USA: California, San Diego Co.; Little Blair Valley; N 33.0372, W 116.4036",EU129649,X. vigilis,vigilis_EM,plants,33.0372,-116.4036
Leavitt 2007,2,BYU46707,"USA: California, San Diego Co.; Little Blair Valley; N 33.0372, W 116.4036",EU129650,X. vigilis,vigilis_EM,plants,33.0372,-116.4036
Leavitt 2007,2,BYU46708,"USA: California, San Diego Co.; Little Blair Valley; N 33.0372, W 116.4036",EU129646,X. vigilis,vigilis_EM,plants,33.0372,-116.4036
Noonan et al 2013,wigginsi 5267.14,LACM 145080,Mexico: Baja California: Vizcaino,EU116672,wigginsi,wigginsi,plants,27.67659,-113.4037
Sinclair et al 2004,70,LACM 145085,"Vizcaino, Mexico: Baja California Sur",AY584273,v. wigginsi,wigginsi,plants,27.67659,-113.4037
Leavitt 2007,135,RLB5267.14,"Mexico: Baja California Sur; Vizcaino; N 27.7667, W 113.4167",EU129970,X. wigginsi,wigginsi,plants,27.7667,-113.4167
Noonan et al 2013,'Yucca Valley' DHL32,BYU 48040,USA: California: Yucca Valley Entrance,EU129908,NA,vigilis_YV,plants,34.11417,-116.43224
Noonan et al 2013,vigilis DHL148,BYU 46708,USA: California: Mason Valley,EU129647,vigilis,vigilis_EM,plants,33.0372222,-116.4035833
Noonan et al 2013,'Yucca Valley' DHL47,BYU 48087,USA: California: La Contenta Road,EU129955,NA,vigilis_YV,plants,34.11198065,-116.3693889
Sinclair et al 2004,36,LACM 138837,"Horse Tank, U.S.A.: Arizona",AY584302,v. vigilis,vigilis_EM,plants,33.08512952,-114.137499
Leavitt 2007,82,RLB5821,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129660,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,135,RLB5267.17,"Mexico: Baja California Sur; Vizcaino; N 27.7667, W 113.4167",EU129971,X. wigginsi,wigginsi,plants,27.7667,-113.4167
Leavitt 2007,135,RLB5267.18,"Mexico: Baja California Sur; Vizcaino; N 27.7667, W 113.4167",EU129972,X. wigginsi,wigginsi,plants,27.7667,-113.4167
Sinclair et al 2004,69,ENEPI 7708,"Rosalillita, Mexico: Baja California",AY584344,v. wigginsi,wigginsi,plants,28.66988669,-114.2342849
Noonan et al 2013,wigginsi ZE4,ENEPI 7708,Mexico: Baja California: Rosalillita,EU116669,wigginsi,wigginsi,plants,28.66988669,-114.2342849
Leavitt 2007,134,ENEPI7708,"Mexico: Baja California; Rosalillita; N 28.6973, W 114.1854",EU129964,X. wigginsi,wigginsi,plants,28.6973,-114.1854
Leavitt 2007,82,RLB5822,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129663,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,82,RLB5823,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129665,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,82,RLB5824,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129664,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,133,ENEPI7703,"Mexico: Baja California; Chapala; N 29.2403, W 114.1543",EU129965,X. wigginsi,wigginsi,plants,29.2403,-114.1543
Leavitt 2007,82,RLB5826,"USA: Arizona, Yuma Co.; Budwiser Spring; N 33.4167, W 114.0333",EU129667,X. vigilis,vigilis_EM,plants,33.4167,-114.0333
Leavitt 2007,11,BYU46715,"USA: California, San Bernardino Co.; Hodge Road.; N 34.7326, W 117.1317",EU129809,X. vigilis,vigilis_LV,plants,34.7326,-117.1317
Leavitt 2007,55,BYU46845,"USA: Utah, San Juan Co.; Moki Canyon; N 37.4835, W 110.6372",EU129712,X. vigilis,NA,plants,37.4835,-110.6372
Sinclair et al 2004,35,LACM 138840,"Budwiser Spring, U.S.A.: Arizona",AY584303,v. vigilis,vigilis_EM,plants,33.41686828,-114.0355996
Sinclair et al 2004,35,LACM 138841,"Budwiser Spring, U.S.A.: Arizona",AY584304,v. vigilis,vigilis_EM,plants,33.41701017,-114.0289908
Sinclair et al 2004,68,ENEPI 7703,"Chapala, Mexico: Baja California",AY584347,v. wigginsi,wigginsi,plants,29.46917023,-114.1760443
Noonan et al 2013,wigginsi ZL9,ENEPI 7703,Mexico: Baja California:  Chapala,EU129914,wigginsi,wigginsi,plants,29.46917023,-114.1760443
Leavitt 2007,132,ENEPI7706,"Mexico: Baja California; Fernando; N 30.0149, W 115.2505",EU129966,X. wigginsi,wigginsi,plants,30.0149,-115.2505
Leavitt 2007,131,ENEPI7704,"Mexico: Baja California; Rosario; N 30.0207, W 115.5118",EU129967,X. wigginsi,wigginsi,plants,30.0207,-115.5118
Sinclair et al 2004,66,ENEPI 7704,"Rosario, Mexico: Baja California",AY584348,v. wigginsi,wigginsi,plants,30.06010536,-115.7249377
Noonan et al 2013,wigginsi ZM3,ENEPI 7704,Mexico: Baja California: Rosario,EU116666,wigginsi,wigginsi,plants,30.06010536,-115.7249377
Leavitt 2007,129,ENEPI7700,"Mexico: Baja California; Matias; N 31.28, W 115.2545",EU129969,X. wigginsi,wigginsi,plants,31.28,-115.2545
Leavitt 2007,130,ENEPI7702,"Mexico: Baja California; Trinidad; N 31.3272, W 115.2545",EU129968,X. wigginsi,wigginsi,plants,31.3272,-115.2545
Sinclair et al 2004,64,ENEPI 7700,"Matias, Mexico: Baja California",AY584341,v. vigilis,wigginsi,plants,31.35487,-115.52311
Noonan et al 2013,wigginsi ZA3,ENEPI 7700,Mexico: Baja California: Matias,EU116671,wigginsi,wigginsi,plants,31.35487,-115.52311
Sinclair et al 2004,65,ENEPI 7702,"Trinidad, Mexico: Baja California",AY584342,v. vigilis,wigginsi,plants,31.88406502,-116.6620035
Noonan et al 2013,wigginsi ZB7,ENEPI 7702,Mexico: Baja California: Trinidad,EU116670,wigginsi,wigginsi,plants,31.88406502,-116.6620035
Sinclair et al 2004,67,ENEPI 7706,"Fernando, Mexico: Baja California",AY584343,v. wigginsi,wigginsi,plants,31.89055929,-116.5637351
Noonan et al 2013,wigginsi ZD1,ENEPI 7706,Mexico: Baja California:  Fernando,EU116668,wigginsi,wigginsi,plants,31.89055929,-116.5637351
Leavitt 2007,128,BYU48029,"USA: California, San Diego Co.; Jacumba; N 32.6313, W 116.1203",EU129962,X. wigginsi,wigginsi,plants,32.6313,-116.1203
Leavitt 2007,128,BYU48030,"USA: California, San Diego Co.; Jacumba; N 32.6313, W 116.1203",EU129963,X. wigginsi,wigginsi,plants,32.6313,-116.1203
Leavitt 2007,128,RLB6670,"USA: California, San Diego Co.; Jacumba; N 32.6313, W 116.1203",EU129961,X. wigginsi,wigginsi,plants,32.6313,-116.1203
Sinclair et al 2004,74,LACM 151492,"Jacumba, U.S.A.: California",AY584350,v. vigilis,wigginsi,plants,32.65664881,-116.18463
Sinclair et al 2004,75,LACM 151493,"Scissors, U.S.A.: California",AY584351,v. vigilis,wigginsi,plants,33.09643,-116.47529
Noonan et al 2013,wigginsi DHL7,BYU 48031,USA: California: Scissors,EU129959,wigginsi,wigginsi,plants,33.1009722,-116.4666667
Leavitt 2007,127,BYU48031,"USA: California, San Diego Co.; Scissors; N 33.1022, W 116.4842",EU129959,Xantusia wigginsi,wigginsi,plants,33.1022,-116.4842
Leavitt 2007,127,BYU48032,"USA: California, San Diego Co.; Scissors; N 33.1022, W 116.4842",EU129960,Xantusia wigginsi,wigginsi,plants,33.1022,-116.4842
Leavitt 2007,104,BYU48033,"USA: California, San Bernardino Co.; Sheep Hole Pass; N 34.2493, W 115.7227",EU129945,Yucca Valley,vigilis_YV,plants,34.2493,-115.7227
Leavitt 2007,103,BYU48035,"USA: California, San Bernardino Co.; Twenty-nine Palms; N 34.1358, W 116.1507",EU129947,Yucca Valley,vigilis_YV,plants,34.1358,-116.1507
Leavitt 2007,103,BYU48036,"USA: California, San Bernardino Co.; Twenty-nine Palms; N 34.1358, W 116.1507",EU129948,Yucca Valley,vigilis_YV,plants,34.1358,-116.1507
Leavitt 2007,103,BYU48037,"USA: California, San Bernardino Co.; Twenty-nine Palms; N 34.1358, W 116.1507",EU129949,Yucca Valley,vigilis_YV,plants,34.1358,-116.1507
Leavitt 2007,127,RLB6671,"USA: California, San Diego Co.; Scissors; N 33.1022, W 116.4842",EU129958,Xantusia wigginsi,wigginsi,plants,33.1022,-116.4842
Leavitt 2007,126,BYU46709,"USA: California, San Diego Co.; Collin's Valley; N 33.361, W 116.4103",EU129875,San Jacinto,vigilis_SJ,plants,33.361,-116.4103
Leavitt 2007,112,BYU48040,"USA: California, San Bernardino Co.; Yucca Valley entrance; N 34.1112, W 116.4752",EU129908,Yucca Valley/ San Jacinto,vigilis_YV,plants,34.1112,-116.4752
Noonan et al 2013,'San Jacinto' DHL9,BYU 48019,USA: California: Pinyon Flats,EU129864,NA,vigilis_SJ,plants,33.4202778,-116.4644167
Leavitt 2007,125,BYU46704,"USA: California, Riverside Co.; Nance Canyon; N 33.4871, W 116.5904",EU129872,San Jacinto,vigilis_SJ,plants,33.4871,-116.5904
Leavitt 2007,100,BYU48043,"USA: California, San Bernardino Co.; Johnson Valley; N 34.3263, W 116.5606",EU129915,Yucca Valley,vigilis_YV,plants,34.3263,-116.5606
Leavitt 2007,101,BYU48044,"USA: California, San Bernardino Co.; Flamingo Heights; N 34.2152, W 116.4344",EU129909,Yucca Valley,vigilis_YV,plants,34.2152,-116.4344
Leavitt 2007,101,BYU48045,"USA: California, San Bernardino Co.; Flamingo Heights; N 34.2152, W 116.4344",EU129906,Yucca Valley,vigilis_YV,plants,34.2152,-116.4344
Leavitt 2007,100,BYU48046,"USA: California, San Bernardino Co.; Johnson Valley; N 34.3263, W 116.5606",EU129913,Yucca Valley,vigilis_YV,plants,34.3263,-116.5606
Leavitt 2007,109,BYU48047,"USA: California, San Bernardino Co.; La Contenta Road.; N 34.0768, W 116.3546",EU129955,Yucca Valley,vigilis_YV,plants,34.0768,-116.3546
Leavitt 2007,109,BYU48048,"USA: California, San Bernardino Co.; La Contenta Road.; N 34.0768, W 116.3546",EU129903,Yucca Valley,vigilis_YV,plants,34.0768,-116.3546
Leavitt 2007,109,BYU48049,"USA: California, San Bernardino Co.; La Contenta Road.; N 34.0768, W 116.3546",EU129956,Yucca Valley,vigilis_YV,plants,34.0768,-116.3546
Leavitt 2007,100,BYU48050,"USA: California, San Bernardino Co.; Johnson Valley; N 34.3263, W 116.5606",EU129916,Yucca Valley,vigilis_YV,plants,34.3263,-116.5606
Leavitt 2007,95,BYU48051,"USA: California, San Bernardino Co.; Silver Reef Mine; N 34.3851, W 116.7442",EU129927,Yucca Valley,vigilis_YV,plants,34.3851,-116.7442
Leavitt 2007,95,BYU48052,"USA: California, San Bernardino Co.; Silver Reef Mine; N 34.3851, W 116.7442",EU129931,Yucca Valley,vigilis_YV,plants,34.3851,-116.7442
Leavitt 2007,9,BYU48053,"USA: California, San Bernardino Co.; Lucerne Valley, Milpas Road; N 34.4489, W 117.0558",EU129812,X. vigilis,vigilis_LV,plants,34.4489,-117.0558
Leavitt 2007,9,BYU48054,"USA: California, San Bernardino Co.; Lucerne Valley, Milpas Road; N 34.4489, W 117.0558",EU129828,X. vigilis,vigilis_LV,plants,34.4489,-117.0558
Leavitt 2007,38,BYU48055,"USA: California, Kern Co.; Walker Pass; N 35.651, W 118.0054",EU129834,X. vigilis,vigilis_OV,plants,35.651,-118.0054
Leavitt 2007,38,BYU48056,"USA: California, Kern Co.; Walker Pass; N 35.651, W 118.0054",EU129839,X. vigilis,vigilis_OV,plants,35.651,-118.0054
Leavitt 2007,38,BYU48057,"USA: California, Kern Co.; Walker Pass; N 35.651, W 118.0054",EU129837,X. vigilis,vigilis_OV,plants,35.651,-118.0054
Leavitt 2007,33,BYU48058,"USA: California, Kern Co.; Onyx; N 35.7208, W 118.1704",EU129726,X. vigilis,vigilis_KCAV,plants,35.7208,-118.1704
Leavitt 2007,33,BYU48059,"USA: California, Kern Co.; Onyx; N 35.7208, W 118.1704",EU129727,X. vigilis,vigilis_KCAV,plants,35.7208,-118.1704
Leavitt 2007,33,BYU48060,"USA: California, Kern Co.; Onyx; N 35.7208, W 118.1704",EU129728,X. vigilis,vigilis_KCAV,plants,35.7208,-118.1704
Leavitt 2007,33,BYU48061,"USA: California, Kern Co.; Onyx; N 35.7208, W 118.1704",EU129725,X. vigilis,vigilis_KCAV,plants,35.7208,-118.1704
Leavitt 2007,27,BYU48062,"USA: California, Kern Co.; Wofford Heights; N 35.7031, W 118.4663",EU129932,X. vigilis,vigilis_YV,plants,35.7031,-118.4663
Leavitt 2007,95,BYU48062,"USA: California, San Bernardino Co.; Silver Reef Mine; N 34.3851, W 116.7442",EU129932,Yucca Valley,vigilis_YV,plants,35.7031,-118.4663
Leavitt 2007,27,BYU48063,"USA: California, Kern Co.; Wofford Heights; N 35.7031, W 118.4663",NA,X. vigilis,NA,plants,35.7031,-118.4663
Leavitt 2007,27,BYU48064,"USA: California, Kern Co.; Wofford Heights; N 35.7031, W 118.4663",EU129738,X. vigilis,vigilis_KCAV,plants,35.7031,-118.4663
Leavitt 2007,89,BYU48065,"USA: California, Kern Co.; S. Woody; N 35.6685, W 118.8493",EU129861,X. sierrae,sierra,rocks,35.6685,-118.8493
Leavitt 2007,89,BYU48066,"USA: California, Kern Co.; S. Woody; N 35.6685, W 118.8493",EU129862,X. sierrae,sierra,rocks,35.6685,-118.8493
Leavitt 2007,87,BYU48067,"USA: California, Kern Co.; Pine Mountain Road; N 35.5697, W 118.7986",EU129849,X. sierrae,sierra,rocks,35.5697,-118.7986
Leavitt 2007,87,BYU48068,"USA: California, Kern Co.; Pine Mountain Road; N 35.5697, W 118.7986",EU129850,X. sierrae,sierra,rocks,35.5697,-118.7986
Leavitt 2007,87,BYU48069,"USA: California, Kern Co.; Pine Mountain Road; N 35.5697, W 118.7986",EU129848,X. sierrae,sierra,rocks,35.5697,-118.7986
Leavitt 2007,87,BYU48070,"USA: California, Kern Co.; Pine Mountain Road; N 35.5697, W 118.7986",EU129851,X. sierrae,sierra,rocks,35.5697,-118.7986
Leavitt 2007,86,BYU48071,"USA: California, Kern Co.; Rancheria Road. 2; N 35.5067, W 118.765",EU129852,X. sierrae,sierra,rocks,35.5067,-118.765
Leavitt 2007,25,BYU48072,"USA: California, Kern Co.; Greenhorn Creek 2; N 35.5781, W 118.5605",EU129733,X. vigilis,vigilis_KCAV,plants,35.5781,-118.5605
Leavitt 2007,44,BYU48075,"USA: California, Inyo Co.; Nopah Mts. Pass; N 35.8841, W 116.0594",EU129718,X. vigilis,NA,plants,35.8841,-116.0594
Leavitt 2007,3,BYU48247,"USA: California, San Bernardino Co.; Lucerne Valley, Bourbon Road.; N 34.4144, W 116.9886",EU129917,X. vigilis/Yucca Valley,vigilis_YV,plants,34.4144,-116.9886
Leavitt 2007,3,BYU48248,"USA: California, San Bernardino Co.; Lucerne Valley, Bourbon Road.; N 34.4144, W 116.9886",EU129813,X. vigilis/Yucca Valley,vigilis_YV,plants,34.4144,-116.9886
Leavitt 2007,5,BYU48249,"USA: California, San Bernardino Co.; Lucerne Valley, Miller Ranch Road.; N 34.4144, W 117.008",EU129814,X. vigilis,vigilis_LV,plants,34.4144,-117.008
Leavitt 2007,7,BYU48250,"USA: California, San Bernardino Co.; Lucerne Valley, Sutter Road.; N 34.4216, W 117.0336",EU129824,X. vigilis,vigilis_LV,plants,34.4216,-117.0336
Leavitt 2007,4,BYU48251,"USA: California, San Bernardino Co.; Lucerne Valley, Buena Vista Road.; N 34.4111, W 116.9986",EU129822,X. vigilis,vigilis_LV,plants,34.4111,-116.9986
Leavitt 2007,4,BYU48252,"USA: California, San Bernardino Co.; Lucerne Valley, Buena Vista Road.; N 34.4111, W 116.9986",EU129815,X. vigilis,vigilis_LV,plants,34.4111,-116.9986
Leavitt 2007,4,BYU48253,"USA: California, San Bernardino Co.; Lucerne Valley, Buena Vista Road.; N 34.4111, W 116.9986",EU129816,X. vigilis,vigilis_LV,plants,34.4111,-116.9986
Leavitt 2007,4,BYU48254,"USA: California, San Bernardino Co.; Lucerne Valley, Buena Vista Road.; N 34.4111, W 116.9986",EU129817,X. vigilis,vigilis_LV,plants,34.4111,-116.9986
Leavitt 2007,4,BYU48255,"USA: California, San Bernardino Co.; Lucerne Valley, Buena Vista Road.; N 34.4111, W 116.9986",EU129825,X. vigilis,vigilis_LV,plants,34.4111,-116.9986
Leavitt 2007,40,BYU48257,"USA: California, Inyo Co.; White Mountains; N 37.4028, W 118.214",EU129830,X. vigilis,vigilis_OV,plants,37.4028,-118.214
Sinclair et al 2004,34,LACM 145210,"Harquahala Mountains, U.S.A.: Arizona",AY584323,v. vigilis,vigilis_EM,plants,33.81199736,-113.3468215
Leavitt 2007,41,CAS189017,"USA: California, Fresno Co.; Ciervo Hills; N 36.4855, W 120.5967",EU129846,X. vigilis,vigilis_PP,plants,36.4855,-120.5967
Leavitt 2007,41,CAS189018,"USA: California, Fresno Co.; Ciervo Hills; N 36.4855, W 120.5967",EU129847,X. vigilis,vigilis_PP,plants,36.4855,-120.5967
Leavitt 2007,31,CAS219626,"USA: California, Kern Co.; Bird Springs Road.; N 35.5614, W 118.1945",EU129748,X. vigilis,vigilis_KCAV,plants,35.5614,-118.1945
Leavitt 2007,31,CAS219627,"USA: California, Kern Co.; Bird Springs Road.; N 35.5614, W 118.1945",EU129749,X. vigilis,vigilis_KCAV,plants,35.5614,-118.1945
Leavitt 2007,32,CAS219686,"USA: California, Kern Co.; Piute Mts.; N 35.4656, W 118.2402",EU129750,X. vigilis,vigilis_KCAV,plants,35.4656,-118.2402
Leavitt 2007,32,CAS219687,"USA: California, Kern Co.; Piute Mts.; N 35.4656, W 118.2402",EU129774,X. vigilis,vigilis_KCAV,plants,35.4656,-118.2402
Leavitt 2007,156,CAS224956,"USA: California, Tulare Co.; Big Meadows; N 36.7177, W 118.8297",EU129957,X. vigilis,vigilis_YV,plants,36.7177,-118.8297
Sinclair et al 2004,34,LACM 145211,"Harquahala Mountains, U.S.A.: Arizona",AY584324,v. vigilis,vigilis_EM,plants,33.81206727,-113.3356208
Sinclair et al 2004,34,LACM 145213,"Harquahala Mountains, U.S.A.: Arizona",AY584325,v. vigilis,vigilis_EM,plants,33.81206727,-113.3356208
Leavitt 2007,81,RLB5758,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129658,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,81,RLB5759,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129651,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,81,RLB5760,"USA: Arizona, La Paz Co.; Harquahala Mts.; N 33.8167, W 113.3833",EU129652,X. vigilis,vigilis_EM,plants,33.8167,-113.3833
Leavitt 2007,108,DHL-JT1,"USA: California, Riverside Co.; Juniper Flats, JOTR; N 33.9733, W 116.1674",EU129950,Yucca Valley,vigilis_YV,plants,33.9733,-116.1674
Leavitt 2007,105,DHL-JT10,"USA: California, Riverside Co.; Bell Campground, JOTR; N 34.0088, W 116.0223",EU129951,Yucca Valley,vigilis_YV,plants,34.0088,-116.0223
Leavitt 2007,108,DHL-JT2,"USA: California, Riverside Co.; Juniper Flats, JOTR; N 33.9733, W 116.1674",EU129952,Yucca Valley,vigilis_YV,plants,33.9733,-116.1674
Leavitt 2007,108,DHL-JT3,"USA: California, Riverside Co.; Juniper Flats, JOTR; N 33.9733, W 116.1674",EU129953,Yucca Valley,vigilis_YV,plants,33.9733,-116.1674
Leavitt 2007,107,DHL-JT4,"USA: California, Riverside Co.; Cottonwood Springs, JOTR; N 33.7463, W 115.8241",EU129940,Yucca Valley,vigilis_YV,plants,33.7463,-115.8241
Leavitt 2007,107,DHL-JT5,"USA: California, Riverside Co.; Cottonwood Springs, JOTR; N 33.7463, W 115.8241",EU129941,Yucca Valley,vigilis_YV,plants,33.7463,-115.8241
Leavitt 2007,107,DHL-JT6,"USA: California, Riverside Co.; Cottonwood Springs, JOTR; N 33.7463, W 115.8241",EU129943,Yucca Valley,vigilis_YV,plants,33.7463,-115.8241
Leavitt 2007,106,DHL-JT7,"USA: California, Riverside Co.; Black Eagle Mine Road., JOTR; N 33.8712, W 115.6836",EU129942,Yucca Valley,vigilis_YV,plants,33.8712,-115.6836
Leavitt 2007,105,DHL-JT8,"USA: California, Riverside Co.; Bell Campground, JOTR; N 34.0088, W 116.0223",EU129944,Yucca Valley,vigilis_YV,plants,34.0088,-116.0223
Leavitt 2007,105,DHL-JT9,"USA: California, Riverside Co.; Bell Campground, JOTR; N 34.0088, W 116.0223",EU129954,Yucca Valley,vigilis_YV,plants,34.0088,-116.0223
Leavitt 2007,102,DHL-SR62.1,"USA: California, San Bernardino Co.; Joshua Tree; N 34.1377, W 116.3423",EU129905,Yucca Valley,vigilis_YV,plants,34.1377,-116.3423
Leavitt 2007,102,DHL-SR62.2,"USA: California, San Bernardino Co.; Joshua Tree; N 34.1377, W 116.3423",EU129907,Yucca Valley,vigilis_YV,plants,34.1377,-116.3423
Leavitt 2007,98,DHL100,"USA: California, San Bernardino Co.; SE of East Ord Mt.; N 34.5916, W 116.7539",NA,Yucca Valley,vigilis_YV,plants,34.5916,-116.7539
Leavitt 2007,98,DHL101,"USA: California, San Bernardino Co.; SE of East Ord Mt.; N 34.5916, W 116.7539",EU129939,Yucca Valley,vigilis_YV,plants,34.5916,-116.7539
Leavitt 2007,96,DHL102,"USA: California, San Bernardino Co.; W side West Ord Mt.; N 34.6977, W 116.9524",EU129936,Yucca Valley,vigilis_YV,plants,34.6977,-116.9524
Leavitt 2007,96,DHL103,"USA: California, San Bernardino Co.; W side West Ord Mt.; N 34.6977, W 116.9524",EU129937,Yucca Valley,vigilis_YV,plants,34.6977,-116.9524
Leavitt 2007,96,DHL104,"USA: California, San Bernardino Co.; W side West Ord Mt.; N 34.6977, W 116.9524",EU129935,Yucca Valley,vigilis_YV,plants,34.6977,-116.9524
Leavitt 2007,19,DHL105,"USA: California, Los Angeles Co.; Rosamond; N 34.8725, W 118.3779",EU129762,X. vigilis,vigilis_KCAV,plants,34.8725,-118.3779
Leavitt 2007,19,DHL106,"USA: California, Los Angeles Co.; Rosamond; N 34.8725, W 118.3779",EU129763,X. vigilis,vigilis_KCAV,plants,34.8725,-118.3779
Leavitt 2007,19,DHL107,"USA: California, Los Angeles Co.; Rosamond; N 34.8725, W 118.3779",EU129761,X. vigilis,vigilis_KCAV,plants,34.8725,-118.3779
Leavitt 2007,19,DHL108,"USA: California, Los Angeles Co.; Rosamond; N 34.8725, W 118.3779",EU129775,X. vigilis,vigilis_KCAV,plants,34.8725,-118.3779
Leavitt 2007,19,DHL109,"USA: California, Los Angeles Co.; Rosamond; N 34.8725, W 118.3779",EU129777,X. vigilis,vigilis_KCAV,plants,34.8725,-118.3779
Leavitt 2007,19,DHL110,"USA: California, Los Angeles Co.; Rosamond; N 34.8725, W 118.3779",EU129776,X. vigilis,vigilis_KCAV,plants,34.8725,-118.3779
Leavitt 2007,18,DHL111,"USA: California, Los Angeles Co.; Neenack; N 34.7847, W 118.3779",EU129765,X. vigilis,vigilis_KCAV,plants,34.7847,-118.3779
Leavitt 2007,18,DHL112,"USA: California, Los Angeles Co.; Neenack; N 34.7847, W 118.3779",EU129766,X. vigilis,vigilis_KCAV,plants,34.7847,-118.3779
Leavitt 2007,18,DHL113,"USA: California, Los Angeles Co.; Neenack; N 34.7847, W 118.3779",EU129767,X. vigilis,vigilis_KCAV,plants,34.7847,-118.3779
Leavitt 2007,18,DHL114,"USA: California, Los Angeles Co.; Neenack; N 34.7847, W 118.3779",EU129768,X. vigilis,vigilis_KCAV,plants,34.7847,-118.3779
Leavitt 2007,18,DHL115,"USA: California, Los Angeles Co.; Neenack; N 34.7847, W 118.3779",EU129769,X. vigilis,vigilis_KCAV,plants,34.7847,-118.3779
Leavitt 2007,18,DHL116,"USA: California, Los Angeles Co.; Neenack; N 34.7847, W 118.3779",EU129770,X. vigilis,vigilis_KCAV,plants,34.7847,-118.3779
Leavitt 2007,125,BYU46705,"USA: California, Riverside Co.; Nance Canyon; N 33.4871, W 116.5904",EU129873,San Jacinto,vigilis_SJ,plants,33.4871,-116.5904
Leavitt 2007,125,DHL144,"USA: California, Riverside Co.; Nance Canyon; N 33.4871, W 116.5904",EU129874,San Jacinto,vigilis_SJ,plants,33.4871,-116.5904
Leavitt 2007,124,BYU46703,"USA: California, Riverside Co.; Sawmill Road; N 33.5731, W 116.4465",EU129871,San Jacinto,vigilis_SJ,plants,33.5731,-116.4465
Leavitt 2007,123,BYU48019,"USA: California, Riverside Co.; Pinyon Flats; N 33.5855, W 116.4587",EU129864,San Jacinto,vigilis_SJ,plants,33.5855,-116.4587
Leavitt 2007,123,BYU48020,"USA: California, Riverside Co.; Pinyon Flats; N 33.5855, W 116.4587",EU129869,San Jacinto,vigilis_SJ,plants,33.5855,-116.4587
Leavitt 2007,123,BYU48021,"USA: California, Riverside Co.; Pinyon Flats; N 33.5855, W 116.4587",EU129865,San Jacinto,vigilis_SJ,plants,33.5855,-116.4587
Leavitt 2007,111,DHL124,"USA: California, San Bernardino Co.; Pioneertown; N 34.165, W 116.5263",EU129910,Yucca Valley,vigilis_YV,plants,34.165,-116.5263
Leavitt 2007,111,DHL125,"USA: California, San Bernardino Co.; Pioneertown; N 34.165, W 116.5263",EU129925,Yucca Valley,vigilis_YV,plants,34.165,-116.5263
Leavitt 2007,111,DHL126,"USA: California, San Bernardino Co.; Pioneertown; N 34.165, W 116.5263",EU129924,Yucca Valley,vigilis_YV,plants,34.165,-116.5263
